MassTagID,FeatureID,STAC_Score,Mass_Error,NET_Error,UP
4208278,1045,0.9860,0.8318,0.0006,1.0000
12576,1047,0.9849,-0.8706,0.0042,1.0000
7970781,1047,1.5398E-09,13.3883,-0.0461,0
1024,1048,0.0087,9.5889,0.0115,0
29258909,1052,4.0818E-07,13.9625,-0.0020,1.0000
1758,1053,0.9865,-0.2810,-0.0022,1.0000
11970,1057,0.9843,-1.3853,-0.0002,1.0000
11986,1060,0.9867,-0.2416,-0.0013,1.0000
11076,1066,0.9866,-0.3427,0.0018,1.0000
11398,1067,0.9866,0.1005,-0.0022,1.0000
11041,1069,0.9713,-1.6430,-0.0109,1.0000
7996900,1071,0.9857,0.6133,0.0032,1.0000
22600,1072,4.5828E-18,-22.0699,0.0010,0
18126,1077,0.9867,0.2296,0.0014,1.0000
23506,1077,3.5359E-08,11.4930,-0.0486,0
9295,1081,0.9868,0.3043,0.0004,1.0000
62569998,1084,3.0011E-10,-16.3004,-0.0191,1.0000
21158,1086,0.9847,-0.0053,0.0060,1.0000
23954,1090,0.9845,-0.2001,0.0062,1.0000
17163,1091,0.9829,-1.1394,-0.0055,1.0000
11661,1092,0.9865,-0.4233,-0.0016,1.0000
23019553,1092,1.9560E-09,13.5506,0.0399,0
12115,1095,0.9834,-0.3836,-0.0070,1.0000
31777389,1095,0.3660,-5.5181,-0.0178,0
11658,1097,0.9867,-0.1711,-0.0014,1.0000
12404,1099,0.9801,0.1302,0.0098,1.0000
1260,1101,0.9740,0.1654,-0.0126,1.0000
1649,1103,0.9793,0.1408,0.0103,1.0000
23217,1105,0.9561,-0.1235,0.0169,1.0000
15141,1108,0.9798,-0.3137,-0.0098,1.0000
55774501,1108,5.8195E-09,-14.3140,-0.0302,0
61338910,1108,8.0116E-13,17.7500,-0.0191,0
11018,1116,0.9785,0.0416,-0.0107,1.0000
1019,1117,0.0851,-8.5790,0.0013,0
7165603,1119,0.9867,-0.1779,-0.0014,1.0000
11525,1122,0.0594,0.1574,0.0402,0
1134,1122,0.0070,0.1574,0.0461,0
11663,1124,0.9864,0.1318,-0.0027,1.0000
1637,1129,0.9827,0.3132,-0.0079,1.0000
10998,1133,0.9822,-0.0216,-0.0083,1.0000
1561,1135,0.9824,0.8310,0.0073,1.0000
21687,1135,0.0954,0.8310,-0.0387,0
1282,1136,0.9654,-0.2725,0.0151,1.0000
1234,1140,0.9785,0.3836,0.0106,1.0000
11059,1148,0.9865,-0.2821,0.0024,1.0000
14195,1149,0.9830,-0.5663,-0.0071,1.0000
3092456,1149,3.1099E-09,-15.4538,-0.0140,0
15088,1151,1.1350E-06,13.5475,0.0157,0
1464,1154,3.4526E-05,-12.6549,-0.0009,1.0000
21167,1157,0.9802,0.2723,0.0097,1.0000
9305,1158,0.9858,0.2554,0.0040,1.0000
21164,1161,0.9868,0.1035,-0.0004,1.0000
29258424,1161,6.5152E-23,-23.1444,-0.0279,0
12073,1162,0.9861,0.7876,-0.0013,1.0000
11087,1163,0.9869,0.0185,-0.0005,1.0000
11266,1164,0.9796,0.8189,-0.0096,1.0000
31318087,1167,2.7735E-09,13.1923,-0.0334,0
1770,1170,0.9839,0.7625,0.0059,1.0000
28301771,1170,1.3857E-08,-15.7072,0.0041,0
17269,1171,1.7023E-06,12.6441,-0.0289,1.0000
11014,1172,0.9794,-0.8147,-0.0094,1.0000
11668,1177,0.9854,-0.0624,0.0049,1.0000
1780,1181,0.4934,6.8135,-0.0071,1.0000
15232,1182,0.0002,-11.9626,-0.0024,1.0000
1260,1190,0.9865,0.5254,-0.0010,1.0000
53932991,1191,0.0970,-3.2353,0.0161,1.0000
11036,1202,0.9864,0.0570,-0.0027,1.0000
11059,1219,7.0297E-13,-18.8193,0.0091,0
21983,1220,5.6865E-19,21.3453,-0.0377,1.0000
15714,1221,0.9808,0.3591,0.0093,1.0000
4207833,1223,0.1652,-1.7295,0.0360,1.0000
1009,1226,0.9835,-0.1584,0.0073,1.0000
21161,1227,0.9864,0.6027,-0.0011,1.0000
29258424,1229,0.0263,5.3111,-0.0205,1.0000
1154,1233,0.9837,0.2300,-0.0070,1.0000
15672,1234,0.9855,0.0180,0.0048,1.0000
1643,1235,0.9849,-0.2942,-0.0054,1.0000
11036,1242,0.9842,-0.5718,0.0062,1.0000
4201845,1247,0.4204,-6.1471,0.0176,1.0000
4201537,1252,4.5417E-22,22.9201,-0.0406,1.0000
1038,1253,0.9799,-0.1924,-0.0098,1.0000
16210,1254,0.9858,-0.7688,-0.0023,1.0000
11074,1256,0.9867,-0.1368,-0.0013,1.0000
11004,1257,0.9868,-0.2970,9.3200E-05,1.0000
5877,1257,7.6894E-24,-22.5265,-0.0471,0
11636,1262,0.9817,-0.1167,0.0088,1.0000
1200,1265,0.9741,0.0389,0.0126,1.0000
